Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
45,10,0,195,7,Some Random Commen with Id 45
46,10,0,133,0,Some Random Commen with Id 46
47,11,4,66,9,Some Random Commen with Id 47
48,11,4,189,5,Some Random Commen with Id 48
49,11,4,162,5,Some Random Commen with Id 49
50,12,2,15,9,Some Random Commen with Id 50
51,12,2,9,0,Some Random Commen with Id 51
52,12,2,3,9,Some Random Commen with Id 52
53,12,2,138,1,Some Random Commen with Id 53
54,12,2,76,3,Some Random Commen with Id 54
55,12,2,154,5,Some Random Commen with Id 55
56,12,2,67,3,Some Random Commen with Id 56
57,12,2,3,2,Some Random Commen with Id 57
58,12,2,32,5,Some Random Commen with Id 58
59,13,5,101,9,Some Random Commen with Id 59
60,13,5,108,1,Some Random Commen with Id 60
61,13,5,189,0,Some Random Commen with Id 61
62,14,2,97,0,Some Random Commen with Id 62
63,14,2,33,0,Some Random Commen with Id 63
64,14,2,111,1,Some Random Commen with Id 64
65,14,2,73,1,Some Random Commen with Id 65
66,14,2,184,6,Some Random Commen with Id 66
67,14,2,191,6,Some Random Commen with Id 67
68,14,2,156,4,Some Random Commen with Id 68
69,14,2,41,3,Some Random Commen with Id 69
70,15,7,69,5,Some Random Commen with Id 70
71,15,7,44,5,Some Random Commen with Id 71
72,15,7,110,0,Some Random Commen with Id 72
73,15,7,11,7,Some Random Commen with Id 73
74,15,7,5,7,Some Random Commen with Id 74
75,16,8,176,6,Some Random Commen with Id 75
76,16,8,131,4,Some Random Commen with Id 76
77,16,8,81,7,Some Random Commen with Id 77
78,16,8,77,1,Some Random Commen with Id 78
79,16,8,22,1,Some Random Commen with Id 79
80,16,8,181,1,Some Random Commen with Id 80
81,16,8,152,3,Some Random Commen with Id 81
82,17,6,10,3,Some Random Commen with Id 82
83,17,6,75,0,Some Random Commen with Id 83
84,19,4,193,1,Some Random Commen with Id 84
85,19,4,59,5,Some Random Commen with Id 85
86,19,4,99,1,Some Random Commen with Id 86
87,19,4,80,4,Some Random Commen with Id 87
88,20,0,107,1,Some Random Commen with Id 88
89,20,0,100,0,Some Random Commen with Id 89
90,20,0,36,7,Some Random Commen with Id 90
91,20,0,76,7,Some Random Commen with Id 91
92,20,0,165,1,Some Random Commen with Id 92
93,20,0,65,6,Some Random Commen with Id 93
94,20,0,89,2,Some Random Commen with Id 94
95,21,6,122,0,Some Random Commen with Id 95
96,21,6,192,3,Some Random Commen with Id 96
97,22,3,16,0,Some Random Commen with Id 97
98,22,3,25,4,Some Random Commen with Id 98
99,22,3,163,0,Some Random Commen with Id 99
100,22,3,16,0,Some Random Commen with Id 100
101,22,3,172,4,Some Random Commen with Id 101
102,22,3,70,1,Some Random Commen with Id 102
103,22,3,70,8,Some Random Commen with Id 103
104,22,3,192,8,Some Random Commen with Id 104
105,22,3,95,4,Some Random Commen with Id 105
106,23,9,101,7,Some Random Commen with Id 106
107,24,2,28,9,Some Random Commen with Id 107
108,24,2,190,6,Some Random Commen with Id 108
109,24,2,161,7,Some Random Commen with Id 109
110,24,2,69,8,Some Random Commen with Id 110
111,25,1,184,5,Some Random Commen with Id 111
112,25,1,89,2,Some Random Commen with Id 112
113,25,1,140,2,Some Random Commen with Id 113
114,25,1,19,6,Some Random Commen with Id 114
115,25,1,0,3,Some Random Commen with Id 115
116,25,1,123,1,Some Random Commen with Id 116
117,26,3,52,4,Some Random Commen with Id 117
118,26,3,192,7,Some Random Commen with Id 118
119,26,3,82,6,Some Random Commen with Id 119
120,26,3,142,8,Some Random Commen with Id 120
121,26,3,156,0,Some Random Commen with Id 121
122,26,3,67,9,Some Random Commen with Id 122
123,26,3,182,3,Some Random Commen with Id 123
124,26,3,86,4,Some Random Commen with Id 124
125,27,1,76,1,Some Random Commen with Id 125
126,27,1,57,1,Some Random Commen with Id 126
127,27,1,104,6,Some Random Commen with Id 127
128,27,1,74,0,Some Random Commen with Id 128
129,27,1,76,5,Some Random Commen with Id 129
130,27,1,86,6,Some Random Commen with Id 130
131,27,1,63,6,Some Random Commen with Id 131
132,27,1,7,5,Some Random Commen with Id 132
133,29,4,57,2,Some Random Commen with Id 133
134,29,4,111,9,Some Random Commen with Id 134
135,30,8,61,3,Some Random Commen with Id 135
136,30,8,142,7,Some Random Commen with Id 136
137,30,8,127,5,Some Random Commen with Id 137
138,30,8,155,5,Some Random Commen with Id 138
139,30,8,79,9,Some Random Commen with Id 139
140,30,8,24,6,Some Random Commen with Id 140
141,30,8,38,8,Some Random Commen with Id 141
142,32,7,43,4,Some Random Commen with Id 142
143,32,7,147,6,Some Random Commen with Id 143
144,32,7,58,6,Some Random Commen with Id 144
145,32,7,59,4,Some Random Commen with Id 145
146,32,7,123,3,Some Random Commen with Id 146
147,32,7,40,7,Some Random Commen with Id 147
148,32,7,109,2,Some Random Commen with Id 148
149,33,6,146,2,Some Random Commen with Id 149
150,34,1,79,8,Some Random Commen with Id 150
151,34,1,39,2,Some Random Commen with Id 151
152,34,1,65,0,Some Random Commen with Id 152
153,34,1,170,8,Some Random Commen with Id 153
154,34,1,93,9,Some Random Commen with Id 154
155,34,1,122,8,Some Random Commen with Id 155
156,34,1,99,5,Some Random Commen with Id 156
157,34,1,172,2,Some Random Commen with Id 157
158,35,6,143,2,Some Random Commen with Id 158
159,35,6,151,2,Some Random Commen with Id 159
160,35,6,52,1,Some Random Commen with Id 160
161,36,6,157,0,Some Random Commen with Id 161
162,36,6,141,1,Some Random Commen with Id 162
163,36,6,63,2,Some Random Commen with Id 163
164,36,6,157,1,Some Random Commen with Id 164
165,36,6,141,8,Some Random Commen with Id 165
166,36,6,77,8,Some Random Commen with Id 166
167,36,6,138,1,Some Random Commen with Id 167
168,36,6,49,3,Some Random Commen with Id 168
169,36,6,155,6,Some Random Commen with Id 169
170,37,1,134,1,Some Random Commen with Id 170
171,37,1,98,2,Some Random Commen with Id 171
172,37,1,171,2,Some Random Commen with Id 172
173,37,1,113,1,Some Random Commen with Id 173
174,37,1,14,7,Some Random Commen with Id 174
175,37,1,67,5,Some Random Commen with Id 175
176,37,1,174,2,Some Random Commen with Id 176
177,38,3,29,4,Some Random Commen with Id 177
178,38,3,32,9,Some Random Commen with Id 178
179,39,4,2,8,Some Random Commen with Id 179
180,39,4,171,1,Some Random Commen with Id 180
181,39,4,80,9,Some Random Commen with Id 181
182,39,4,98,0,Some Random Commen with Id 182
